species,height.m,internode.mm,leaf.length.mm,leaf.width.mm,no.Flowers,inflorescence.cm,corolla.length.mm,corolla.width.mm,seed.length.mm,seed.width.mm,corolla.colour,corolla.colour.other,Source
Veronica_adamsii,1,22,100,18,65,10,4,3,2.5,2,3,1,Bayly and Kellow 
Veronica_albicans,1,9,42,16.3,45,5.1,6,1.8,1.8,1.1,1,,Bayly and Kellow 
Veronica_amplexicaulis,0.5,8,21,12,25,4.6,4.8,,1.8,1.5,1,,Bayly and Kellow 
Veronica_angustissima,1,14,75,9,95,11,4,0.9,1,0.8,2,1,Bayly and Kellow 
Veronica_annulata,0.5,1.8,,2.9,10,0.7,1.7,1.2,1.3,0.8,1,,Bayly and Kellow 
Veronica_arganthera,1.5,8,30,11,20,5,2.5,3.5,1.1,0.9,1,,Bayly and Kellow 
Veronica_armstrongii,1,2.3,,2,8,0.7,1.7,1.6,1.3,0.8,3,1,Bayly and Kellow 
Veronica_barkeri,13,17,79,15,39,7.6,2,1.9,2,1.4,2,,Bayly and Kellow 
Veronica_baylyi,0.6,,12.3,7.4,22,3,2.7,2.1,,,1,,Bayly and Kellow 
Veronica_benthamii,1,13,33,14.5,27,1.9,3.2,3.9,1.9,1.6,3,,Bayly and Kellow 
Veronica_biggarii,0.3,10,15,8,25,4,1.8,2.5,1.3,0.8,2,1,Bayly and Kellow 
Veronica_birleyi,0.1,5,7,6,2,0.6,3,10,1,0.7,1,,Garnock Jones & Lloyd 2004
Veronica_bishopiana,1,24,90,18,170,17,4,2.1,,,2,1,Bayly and Kellow 
Veronica_bollonsii,2.5,35,95,31,120,12,5,2.4,1.7,1.3,2,"1,3",Bayly and Kellow 
Veronica_brachysiphon,1.8,7,25.5,8,36,4.1,3.5,2.2,,,1,,Bayly and Kellow 
Veronica_breviracemosa,2,14,85,19,45,5,2.3,1.7,1,0.7,2,1,Bayly and Kellow 
Veronica_buchananii,0.3,4,6,5,12,1.5,1.9,1.8,1.5,1,1,,Bayly and Kellow 
Veronica_calcicola,1.4,15,38,9,45,7,1.2,,1.9,1.2,1,,Bayly and Kellow 
Veronica_canterburiensis,1,6,15,6.5,12,3,3.5,1.5,1.7,1.4,1,,Bayly and Kellow 
Veronica_catarractae,0.5,40,70,20,40,20,1.5,14,0.8,0.8,1,,Garnock Jones & Lloyd 2004
Veronica_chathamica,0.25,17,33,16.5,40,4.1,4,2.3,1.6,1.3,2,1,Bayly and Kellow 
Veronica_cheesemanii,0.04,4,3,3,2,1,7,7,1.1,0.7,1,,Garnock Jones & Lloyd 2004
Veronica_chionohebe,0.005,,4.57,2.21,1,,3.45,1.59,0.77,0.54,1,,Meudt 2008
Veronica_ciliolata,0.006,,4.32,2.89,1,0.82,8.2,6.52,1.04,0.74,1,,Meudt 2008
Veronica_cockayneana,1.2,6.5,21.5,7.5,16,3.2,2.3,2.5,1.2,1.7,1,,Bayly and Kellow 
Veronica_colensoi,0.4,5,27,9,21,3.3,2.3,1.5,1.5,0.9,1,,Bayly and Kellow 
Veronica_colostylis,0.15,5,12,3,5,2.5,2.5,8,0.8,0.6,1,,Garnock Jones & Lloyd 2004
Veronica_corriganii,2.5,22,105,16,120,14.5,5,2.4,2.2,1.7,2,1,Bayly and Kellow 
Veronica_cryptomorpha,1.2,8,28,8,17,3.7,3,3,1.1,0.7,1,,Bayly and Kellow 
Veronica_cupressoides,1.5,6.5,,3.7,22,3.7,1.4,1.1,1.1,0.6,2,"1,3",Bayly and Kellow 
Veronica_decora,0.03,5,4,3,20,20,1,8,0.9,0.8,3,1,Garnock Jones & Lloyd 2005
Veronica_decumbens,0.35,16.5,23.5,13,25,3,6,2,1.7,1.3,1,,Bayly and Kellow 
Veronica_densifolia,0.005,,6.36,2.97,1,1.2,12.46,15.44,1.13,0.84,3,2,Meudt 2008
Veronica_dieffenbachii,3,22,47,20,110,10,3.5,1.8,1.5,1.2,3,1,Bayly and Kellow 
