,Family,Genus,SpeciesName,Gender_literature,Gender_source
1448,Plantaginaceae,Veronica,adamsii,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1449,Plantaginaceae,Veronica,albicans,H,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1450,Plantaginaceae,Veronica,amplexicaulis,H,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1452,Plantaginaceae,Veronica,annulata,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1453,Plantaginaceae,Veronica,arganthera,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1454,Plantaginaceae,Veronica,armstrongii,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1455,Plantaginaceae,Veronica,barkeri,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1456,Plantaginaceae,Veronica,baylyi,GD,"Bayly and Kellow 2006, Garnock-Jones 2023"
1457,Plantaginaceae,Veronica,benthamii,H,Garnock-Jones 2023
1458,Plantaginaceae,Veronica,biggarii,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1460,Plantaginaceae,Veronica,bishopiana,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1461,Plantaginaceae,Veronica,bollonsii,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1462,Plantaginaceae,Veronica,brachysiphon,GD,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1463,Plantaginaceae,Veronica,breviracemosa,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1464,Plantaginaceae,Veronica,buchananii,H,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1465,Plantaginaceae,Veronica,calcicola,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1467,Plantaginaceae,Veronica,canterburiensis,H,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1468,Plantaginaceae,Veronica,catarractae,H,"Garnock Jones 1976, Garnock-Jones 2023"
1469,Plantaginaceae,Veronica,chathamica,H,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1471,Plantaginaceae,Veronica,chionohebe,D,Garnock-Jones 2023
1472,Plantaginaceae,Veronica,ciliolata,D or GD,"Delph 1990 (G or GD), Garnock-Jones 2023 (D)"
1473,Plantaginaceae,Veronica,cockayneana,GD,"Bayly and Kellow 2006, Garnock-Jones 2023"
1474,Plantaginaceae,Veronica,colensoi,GD,"Bayly and Kellow 2006, Garnock-Jones 2023"
1475,Plantaginaceae,Veronica,colostylis,H,"Garnock Jones 1976, Garnock-Jones 2023"
1476,Plantaginaceae,Veronica,corriganii,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1477,Plantaginaceae,Veronica,cryptomorpha,GD,"Bayly and Kellow 2006, Garnock-Jones 2023"
1478,Plantaginaceae,Veronica,cupressoides,H,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1479,Plantaginaceae,Veronica,decora,H,"Garnock Jones 1976, Garnock-Jones 2023"
1480,Plantaginaceae,Veronica,decumbens,H,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1481,Plantaginaceae,Veronica,densifolia,H,Garnock-Jones 2023
1482,Plantaginaceae,Veronica,dieffenbachii,H,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1483,Plantaginaceae,Veronica,dilatata,GD,"Bayly and Kellow 2006, Garnock-Jones 2023"
1484,Plantaginaceae,Veronica,diosmifolia,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1485,Plantaginaceae,Veronica,elliptica,H,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
